address,name,phone,website
"33 McNicol Road, Tecoma, VIC, 3160",Thrive Over 40 Holistic Health & Nutrition,0419352906,http://thriveover40.com
"108 Willis St Hampton, Hampton, VIC, 3188",Bayside Healthy Living,0404 913 662,http://www.baysidehealthyliving.com.au/our-team
"Vincent Lane, Avondale Heights, VIC, 3034",Yoga Freedom,0400008023,http://yogafreedom.com.au
"8/259 Glen Osmond Road, Frewville, SA, 5063",Lifeflow Meditation Centre,08 8379 9001,http://lifeflow.com.au/
"1 Roseby St, Marrickville, NSW, 2204",Triple Tranquillity,0401997104,
"27 Viewgrand Drive, BERWICK, VIC, 3806",Empowered Happiness,0402145342,http://www.empoweredhappiness.com
"Online, DULWICH HILL, NSW, 2203",Real Life Counselling,0403 692 403,
"69 Pickworth Retreat, Bunbury, WA, 6230",Leschenault Wellness,0448131295,http://www.leschenaultkinesiology.com.au/
"6 Driftway Drive,, Pemulwuy, NSW, 2145",Zen Om Yoga Studio,0430125698,http://zenomyoga.com.au
"19 The Circus, Burswood, WA, 6100",Healing Solutions,0439432594,http://www.healingsolutions.com.au
"Iramoo Community Centre, 84 Honour Avenue, Wyndham Vale, VIC, 3024",Yoga Classes,0416009024,http://www.yogamoveswest.com.au/
"4/22, Neilson Street, Bayswater, VIC, 3153",Rowena Harris Counselling,0468396662,
"12A Pioneer St, Seaton, SA, 5023",Oasis Mindfulness,0438199174,http://oasismindfulness.com/
"3/29 McKell St., Birchgrove, NSW, 2041",Marcea Klein,0410511682,
"1st Floor, 64-66 Kingsway, Glen Waverley, VIC, 3150",PT Counselling Pty Ltd,0408579312,http://ptcounselling.com.au
"Level 3, 2 Alexandra Pde, Cotton Tree, QLD, 4558",Restore Healthy Eating,0405505544,http://restorehealthyeating.com
"11 Melaleuca Way, Orange, NSW, 2800",Yvette McRae NATUROPATH,+61427900418,
"34 Glencairn Avenue, Brighton East, VIC, 3187",Lisa Gelbart,0438696784,
"4, Belgrave South, VIC, 3160",Marcelle Yoxon Therapy,+61413995080,http://www.marcelleyoxontherapy.com
"The Village Workplace, 1/F Parap Road, Parap, NT, 0820",Mind Renewal Psychotherapy Services,0439439297,
"955 Gold Coast Hwy, Palm Beach, QLD, 4221",Professional Counselling,+61455507807,http://www.professionalcounselling.net
"1/7 Magdalene Terrace, Wolli Creek, NSW, 2205",Positive Thinking Clinic,0458850850,http://www.positivethinkingclinic.com.au
"142 Northwood Street, West Leederville, WA, 6007",Catherine Finch Spirit Medium,0404071172,http://www.catherinefinch.com.au
"13 Eaton Street, Sippy Downs, QLD, 4556",Marc de Bruin | Counsellor | Coach | Simplifying Life,0417062506,http://simplifyinglife.com.au
"11 Portland Parade, Seaford, VIC, 3198",eCounselling Australia,0418502999,http://www.ecounsellingaustralia.com.au
"9 Naroo place, Frankston, VIC, 3199",Want to talk about it Counselling,0404001469,
"Unit 16, 3 Millers Drive, Tugun, QLD, 4224",Amber's Natural Nutrition,0450363621,http://www.ambersnaturalnutrition.com
"17 Robin Hill Drv, Mornington, MELBOURNE, VIC, 3931",Horizon Counselling,0400788516,
"602/54 Nott Street, Port Melbourne, VIC, 3207",Melissa Smith,0467542281,http://melissasmith.pro
"PO Box 245, Balaclava, VIC, 3183",Amira Kay,0411566027,http://www.amirakay.com/
"Unit 39, 45-47 De Carle St, Brunswick, VIC, 3056",Thomas Reiner Counselling,+61433203232,http://thomasreinercounselling.wordpress.com
"34 Rita St, Holland Park, QLD, 4121",Elixir & Life,0458330925,http://www.elixirandlife.com
"9 Brooke Close, Skype - Judithwoth, Edens Landing, QLD, 4207",JKW Counselling,0407877522,
"2/30, Wright Street, Roma, QLD, 4455",Positive Outcomes Counselling Services,0448906134,
"Office 5, Lvl 1, 136 Russell Street, Toowoomba City, QLD, 4350",Rohan Watson Counselling & Coaching,0437008237,http://www.rohanwatson.com.au
"3 Elebana Street, Sydney, NSW, 2760",Paul Hamad Life Coach,0421095095,http://www.paulhamadlifecoach.com.au
"Forrest ave, Valley View, SA, 5093",ghazmelTHERAPY,0430386419,http://ghazmeltherapy.com.au
"57 Cathies Lane, Wantirna South, VIC, 3152",Saffron Nutrition,0420871694,http://saffronnutrition.com.au/
"20 perouse rd, Randwick, NSW, 2034",Core Dynamics Pilates and Movement,0412291932,http://www.coredynamics.com.au/
"1 New St., Windsor, NSW, 2756",Mary Collis Nutrition,0405637566,http://marycollis.net
"5 Louis Rise, Kilmore, VIC, 3764",Intuitive Spiritual Psychology,+61433558221,http://Www.intuitivespiritualpsychology.com.au
"56 Blue Squill Drive, Lower chittering, WA, 6084",Health and Balance with Julie Burgers,+61414696430,http://www.mydoterra.com/julieburgers/#/
"42/265, Martin Road, Larnook, NSW, 2480",Somatic Trauma Healing,0487963103,http://ilovemyselfyoga.com.au
"Suite 16, Ground Floor Times Square, 250 McCullough Street, Sunnybank, QLD, 4123",Krysten Siu Dietitian,0406338133,
"14 Fletcher Street, Netley, SA, 5037",Doodle Bird,0439312117,http://www.doodlebird.com.au
"6, Birtely Place, Elizabeth Bay, NSW, 2011",Barbara Kiao,+61499039868,http://www.barbarakiao.com
"Quan Yin Healing Centre, Shop 12, 150 Macquarie Road, Springwood, NSW, 2777",Empowering Health,0491154594,http://empoweringhealth.clinic
"54/23 George Street, North Strathfield, NSW, 2137",Naturology,0418655485,http://Naturology.care
"116 Partridge street, Glenelg South, Adelaide, SA, SA, 5045",Kate Driver naturopath and women's health coach,+61419106019,http://katedrivernaturopath.com.au/
"306 KIEL MOUNTAIN ROAD, KIELS MOUNTAIN, QLD, 4559",Tensegrity Studio Pilates,0400600360,http://www.tensegritystudiopilates.com.au/
"21 Shaun Street, Glenwood, NSW, 2768",LifeChange Wellness Clinic,0404102574,http://www.lifechangewellnessclinic.com
"34 Blenheim Street, Randwick, NSW, 2031",The Inner Sage Australia,+61407696454,http://www.theinnersageaustralia.com
"16 Gentile Crt, Rosetta, TAS, 7010",LAGOM NutriHealing,0447710961,
"83 Bynya Road, Palm Beach, NSW, 2108",Fit2Live,61438847255,
"Suite 2, 130 longueville Road, Lane Cove, NSW, 2066",Energy Essence,0410471557,http://www.energyessence.com.au/
"17 Noosa Parade, Noosa Heads, QLD, 4567",High Vibes Healing,0447362561,
"1622-1624 High St, Glen Iris, VIC, 3146",SportsFit Physio & Health,+61388408066,http://www.sportsfitphysioandhealth.com.au/
"Villa Le Mar, 102 Hedges Avenue, Mermaid Beach, QLD, 4218",Vanessa Mandich,0421 872 488,http://www.pursuitofhealth.com.au
"7 Bowtell Dr, Highfields, QLD, 4352",Quit Practice Australia,0417703453,
"345 Fantin Rd, Koah, QLD, 4881",Natural Health Focus,07 4085 0054,http://www.naturalhealthfocus.com.au
"42 Baldorph Ave, Rosemeadow, NSW, 2560",Nutrishious 'n' Delicious,0420970543,http://nutrishousndelicious.com
"29 Farmborough Rd, Unanderra, NSW, 2526",Julie Landon Nutrition,0423363012,http://julielandonnutrition.com
"Kirribilli Gardens, 3/247 Mooroondu Rd Thorneside, Brisbane, QLD, 4158",Yoga & Wellness For All,0402901358,http://www.yogaandwellnessforall.com.au/
"295 Point Nepean Road, Dromana, VIC, 3936",Evolve Fitness and Nutrition,0468835172,http://www.evolvefn.com.au
"Suite 16A,, 11  Brookhollow Avenue,, Norwest, NSW, 2153",Smart Brain Health Centre,0290606221,http://www.smartbrainhealthcentre.com.au
"8 Dorset Road, Heathcote, NSW, 2233",Naturally Active,0423700511,http://www.natactive.com.au
"13 David Street, Croydon, NSW, 2132",Ann Eyres Hypnotherapy,0417 471 407,http://www.hypnotherapysydney.com.au
"Floreat Beach Surf Club, West Coast Highway, City Beach, WA, 6015",Become Yoga,0432972238,http://facebook.com/yogabecmathias
"3 highgate st, strathfield, NSW, 2135",TOTAL VITALITY,0403172737,http://totalvitality.com.au
"13 Carapook Cres, Tallebudgera., Gold Coast., QLD, 4228",Gold Coast Yoga Therapy,0417762012,http://goldcoastyogatherapy.com.au
"Suite 1&2, Level 5, 428 George St, Sydney, NSW, 2000",Jean Martain Naturopath,0432234814,http://jeanmartainnaturopath.com.au/
"Level 1, Regal Professional Centre, 118 Main Street, Mittagong, NSW, 2575",Bowral Nutrition,0413698998,http://bowralnutrition.com.au/
"MITCHELL STREET, GEELONG, VIC, 3216",Soul Rebel Hypnotherapy,0429213231,http://soulrebelhypnotherapy.com/
"First Avenue Family Practice, 161 - 163 First Avenue, Five Dock, NSW, 2046",DSdietetics,0402355313,
"11 Leonard Ave, TOUKLEY, NSW, 2263",Jessica Worth Nutrition,0414802035,http://jessicaworth.com
"Surf parade, Broadbeach, QLD, 4218",Sandra Stone Therapies,0418 458287,http://sandrastonetherapies.com/
"8 Harrison Place, Tumbi Umbi, NSW, 2261",Cassandra Parrish,0449105177,http://cassandraparrish.com.au
"3 Northcote Rd, Armadale, VIC, 3143",Sense Psychotherapy,0412676303,
"Coal Point Progress Association Hall, 197 Skye Point Road, Coal Point, NSW, 2283",Lake Macquarie,0412231461,http://yogacircle.net
"Yarra Valley Holistic Health, 400 Warburton Hwy, Wandin North, VIC, 3139",: Vittoria Tosi Kinesiology,0438053652,http://www.mvtosi.com.au
"Level 3, 370 Queens Pd, Clifton Hill, VIC, 3068",Therapies for Transformation,0433080837,http://www.therapiesfortransformation.com/
"31 Avondale Road, Cooranbong, NSW, 2265",Soul Light Energetic Healing,0434 215 408,http://www.soullight.com.au
"1/218 Wisemans Ferry Road, Somersby, NSW, 2250",All Ability Yoga,0406 973 378,http://www.allabilityoga.com/
"15, Buvelot Wynd, Doncaster East, VIC, 3109",Grounded with Gratitude,+61400997256,http://mailchi.mp/b4d8b5c21b2e/groundedwithgratitude
"Unit 1, 12 Mary Street, Thirroul, NSW, 2515",Illawarra Sleep Psychology,0411750753,http://www.illawarrasleeppsychology.com.au
"115 Haig Rd, Auchenflower, QLD, 4066",Yogababy,0424755763,http://www.yogababy.com.au
"20/11 Soldiers Ave, Freshwater, NSW, 2096",Kate Powe Natural Medicine,+61404120155,http://www.katepowe.com
"56 Coonan St, Indooroopilly, QLD, 4068",Eat Smart Nutrition,0451618537,http://www.eatsmartnutrition.com
"19 Urquhart St, Carindale, QLD, 4152",Beyond Wellness Brisbane,0404008333,http://beyondwellnessclinic.com.au
"2/47 Hutchins Street, Kedron, QLD, 4031",The Botaniq,0431915762,http://www.thebotaniq.com
"703/63 Shoreline Drive, Rhodes, NSW, 2138",CL-Nutrition Office,0439111580,
"9 Johnstone Street, Sherwood, QLD, 4075",Jodi Allen Nutrition,0405129489,http://www.jodiallennutrition.com
"31 Rix Drive, Upper Coomera, QLD, 4209",Don't Finish Your Plate - Dietitian,0424022370,http://dontfinishyourplate.com.au/
"11 Moloaa crescent, Birkdale, QLD, 4159",Create Happy Mind,+61434626307,http://www.josetoussaint.com
"Military Rd, Bondi, NSW, 2026",Relaxation Project,0405337112,http://Www.relaxationproject.com
"6 Farnborough Drive, Moss Vale, NSW, 2577",Living a balanced life,0419464255,http://www.livingabalancedlife.com.au
"5 Coryule St, Battery Hill, QLD, 4551",Diamond Light Quantum Healing,0427106009,http://diamond-light.com
"10 Varcoe St, Shepparton, VIC, 3630",Verdure Naturopathy,408356044,http://www.verdurenaturopathy.com.au
"26 Raglan Street, Sydney, Malabar, NSW, 2036",Jenny Nurick,0410331307,http://www.jennynurick.com
"12 Grannall St, Forde, ACT, 2914",Quirky Forest,0415180574,http://quirkyforest.com
"8/1 Curtin Place, Concord, NSW, 2137",Debt Wipeout,0419605365,http://debtwipeout.org
"7/84 St Georges Crescent, Drummoyne, NSW, 2047",An Open Door Counselling,0415 980 649,
"1405 Golden Grove Road, Golden Grove, SA, 5125",Lifecare Services,0413303576,http://www.lifecareservices.net
"Suite 21A, 2 Portrush Rd, PAYNEHAM, SA, 5070",SYNERGY HOLISTIC HEALTH,0433699563,http://www.synhh.com.au
"12 Bayview Crescent, Beaumont, SA, 5066",Optimum Learning & Health Centre,+61883794755,http://optimumlearningandhealth.com
"4, 109 Nimmo Street, Middle Park, VIC, 3206",I Am Counselling,0447555043,http://iamcounselling.com.au
"38 David Close, Osborne Park, WA, 6017",Careers Count Consulting,0433431486,http://www.careerscountconsulting.com
"Thornbury, VIC, 3071",Yoga & Nutrition Online,+61422716324,http://www.alisalexander.com.au
"9 Darley St, Marrickville, NSW, 2204",Senses and Stillness Yoga,0407100126,http://www.sensesandstillnessyoga.com/online-yoga
"P.O. Box 581, Fullarton, SA, 5063",Telehealth Exercises,08 70801564,http://www.telehealthexercises.com.au
"47 Helene Street, Ardeer, VIC, 3022",Naturoway,0422684052,http://www.naturoway.com.au
"6 Nimbus Drive, Flaxton, QLD, 4560",Olivia Besson Yoga,+61412506235,http://livbessonyoga.com
"16/3 Pecan Court, Suffolk Park, NSW, 2481",Cocoon Yoga Byron Bay,0408770493,http://www.cocoonyogabyronbay.com.au
"68 Biggs Ave, Beachmere, QLD, 4510",JD Counselling,0412570337,http://WWW.jdcounselling.com.au
"Hillcrest Ave, Port Macquarie, NSW, 2444",essenture,0414898262,http://jayeroberts.com
"854 Fourteenth Street, Mildura, VIC, 3509",Emergent Mindfulness Centre,0416459469,http://emergentmindfulness.com.au
"4 Karnak Road, Ashburton, VIC, 3147",Theta Freedom,0431740156,http://www.thetafreedom.com.au/
"8/6 Firewheel Place, Suffolk Park, NSW, 2481",Intouch Yoga Byron Bay,0418441437,http://www.intouchyogabyronbay.com
"8 Waratah St, Rushcutters Bay, NSW, 2011",Seasonal Yoga Treats,0419609991,http://seasonalyogatreats.com.au
"4 Jetty Place, Heathridge, WA, 6027",Inner Mind Therapies,0403357656,http://innermindtherapies.com.au
"St. James Trust Building, Suite 416, 185 Elizabeth St, Sydney, NSW, 2000",Isabelle Truong - Intuitive Resolution,0403447708,http://www.intuitiveresolution.com.au
"1B / 318 Junction Road, Clayfield, QLD, 4011",Marta Browne - Psychotherapist & Integrative Naturopath,07 3143 3688,http://martabrowne.com
"3309A/100 Harbour Esp, Docklands, VIC, 3008",Mr Meditate,0411345509,http://mrmeditate.com
"Lane Cove Tennis Club, Central Park, Kenneth Street,, Longueville, NSW, 2066",ingrid Shaw Pty Ltd,0414943953,http://www.yogabowl.com.au
"34/70-74 Phillip St, Parramatta, NSW, 2150",Yoga Sadhana,0481166593,http://www.yogasadhana.com.au
"98-100 Goodwood Road, Goodwood, Adelaide, SA, 5064",Your Inner Calm Coach,409677038,http://www.yourinnercalmcoach.com/
"26 Bristol Street, Aldinga Beach, SA, 5173",Megan Spencer Meditation,0414 835 158,http://www.themeganspencer.com/meditation/
